ID,Title,Author,State,Source Branch,Destination Branch,Created On,Updated On,Link
196,Back merge master to develop,Max Hampton,MERGED,master,develop,2026-01-09T22:09:21.625236+00:00,2026-01-22T18:44:56.463255+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/196
195,Remove lincoln deployments,Max Hampton,MERGED,release/2026_01_09,master,2026-01-09T19:50:27.407509+00:00,2026-01-09T22:07:21.037938+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/195
194,Remove lincoln deployments,Max Hampton,MERGED,fix/DEV-426-Remove-Lincoln-Deployments,develop,2026-01-07T22:14:39.447257+00:00,2026-01-09T19:18:12.131197+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/194
193,hotfix: DEV-219 update billing destination,Chris Sweeney,MERGED,hotfix/DEV-219_UpdateBillingDestination,master,2025-05-29T19:02:29.409632+00:00,2025-05-29T19:45:38.224726+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/193
191,PR-4853 V1 updates in OLA regarding Rules 31 to 34.,Judy Genensky,MERGED,hotfix/PR-4853_V1PaymentReformChangeDurationCalculationForExplanationOfResultsAddOn,master,2024-12-05T20:36:35.020246+00:00,2025-01-09T02:50:32.178945+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/191
190,Hotfix/PR-4853 V1PaymentReformChangeDurationCalculationForExplanationOfResultsAddOn,Judy Genensky,MERGED,hotfix/PR-4853_V1PaymentReformChangeDurationCalculationForExplanationOfResultsAddOn,master,2024-10-29T19:38:26.164162+00:00,2024-11-13T22:43:01.438422+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/190
189,PR-4875 Bug reported my Alameda County QA Assistant Director,Judy Genensky,MERGED,hotfix/PR-4875_V1AlamedsCalAIMBillingFileIncorrectCalculationsForDurationAndProlongedAddOns,master,2024-09-12T20:24:49.100654+00:00,2024-09-19T22:16:24.612800+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/189
186,Release/sprint 188,Greg Stone,MERGED,release/sprint_188,master,2024-07-17T05:29:04.485554+00:00,2024-07-29T19:54:06.053767+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/186
188,2024 07 24 merge sprint 188 to develop,Greg Stone,MERGED,2024-07-24-merge-sprint-188-to-develop,develop,2024-07-24T22:08:54.465893+00:00,2024-07-26T17:27:26.328231+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/188
187,Feature/PR-4767 new payment reform July testing updates,Greg Stone,MERGED,feature/PR-4767-new-payment-reform-July-testing-updates,release/sprint_188,2024-07-24T20:06:44.596902+00:00,2024-07-24T22:02:09.223534+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/187
